City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ampanihy,-24.7,44.75,61.68,78,100,13.06,MG,1635564273
east london,-33.0153,27.9116,58.14,88,20,8.05,ZA,1635564793
chokurdakh,70.6333,147.9167,-15.02,99,99,2.33,RU,1635564276
sao filipe,14.8961,-24.4956,78.19,75,99,8.72,CV,1635564277
cape town,-33.9258,18.4232,63.09,78,75,3.0,ZA,1635564555
rikitea,-23.1203,-134.9692,75.24,82,99,16.11,PF,1635564808
berlevag,70.8578,29.0864,39.87,84,55,28.16,NO,1635564280
gornopravdinsk,60.05,69.9,17.73,87,58,10.0,RU,1635564282
avarua,-21.2078,-159.775,75.25,69,90,9.22,CK,1635564283
new norfolk,-42.7826,147.0587,58.75,51,54,5.99,AU,1635564284
nong chik,6.8436,101.178,85.33,74,100,3.13,TH,1635564061
mindelo,16.8901,-24.9804,76.55,73,75,17.27,CV,1635564286
qabaqcol,41.72,46.2647,50.04,85,100,3.13,AZ,1635564287
ternate,0.8,127.4,83.03,71,99,4.79,ID,1635564288
punta arenas,-53.15,-70.9167,41.11,65,0,8.05,CL,1635564289
batemans bay,-35.7167,150.1833,69.19,39,62,10.27,AU,1635564017
progreso,21.2833,-89.6667,73.51,58,28,12.19,MX,1635564291
vaini,-21.2,-175.2,73.56,94,90,6.91,TO,1635564292
port lincoln,-34.7333,135.8667,59.49,50,29,8.1,AU,1635564293
busselton,-33.65,115.3333,69.04,52,5,5.88,AU,1635564294
barrow,71.2906,-156.7887,1.42,78,75,8.05,US,1635564295
ushuaia,-54.8,-68.3,40.66,70,20,20.71,AR,1635564296
chernenko,44.365,39.3103,39.74,88,0,2.55,RU,1635564297
albany,42.6001,-73.9662,47.8,79,84,3.0,US,1635564299
tuktoyaktuk,69.4541,-133.0374,24.8,100,90,4.61,CA,1635564300
saint-ambroise,48.5501,-71.3324,40.59,75,24,4.05,CA,1635564301
mar del plata,-38.0023,-57.5575,61.88,98,20,20.0,AR,1635564699
fortuna,40.5982,-124.1573,59.47,74,90,3.44,US,1635564701
tasiilaq,65.6145,-37.6368,26.76,67,43,8.23,GL,1635564702
lebu,-37.6167,-73.65,52.93,90,90,20.24,CL,1635564703
plettenberg bay,-34.0527,23.3716,61.79,79,93,9.95,ZA,1635564705
tiksi,71.6872,128.8694,-2.47,98,97,7.56,RU,1635564706
dikson,73.5069,80.5464,7.43,89,100,15.79,RU,1635564815
camana,-16.6228,-72.7111,64.89,83,50,7.7,PE,1635564817
kodiak,57.79,-152.4072,45.91,87,90,14.97,US,1635564819
